2018-10-09 21:28:36,"b'RT @robbienotrobin: #RealDonaldTrump Shame on you. For apologizing to a sexual predator, for calling the outrage a hoax, for tying the FBI\xe2\x80\x99\xe2\x80\xa6'"
2018-10-09 21:28:23,"b'RT @bendel_david: #realdonaldtrump Just wait once Michael strikes away, here comes next Hurricane Nadina is it....oh by the way....twitters\xe2\x80\xa6'"
2018-10-09 21:26:57,"b""RT @JJS5547: What I don't get.. what did and does Obama have on all these people that they lost their positions and reputations for.. #MAGA\xe2\x80\xa6"""
2018-10-09 21:17:25,"b""#realDonaldTrump's spirit animal? https://t.co/Kr53uQmVjK"""
2018-10-09 21:14:10,"b'#realdonaldtrump Just wait once Michael strikes away, here comes next Hurricane Nadina is it....oh by the way....tw\xe2\x80\xa6 https://t.co/ay93CgPVbK'"
2018-10-09 21:11:58,b'RT @NellysTellys: Brussels is great! #MakeBelgiumGreatAgain @POTUS #realDonaldTrump'
2018-10-09 21:11:58,"b""RT @jeffreymmiller: Putin's Russian Internet Troll Factory responsible for successful pro- #realDonaldTrump election meddling hit by arsoni\xe2\x80\xa6"""
2018-10-09 21:03:12,"b'You\xe2\x80\x99re Hired! You\xe2\x80\x99re Fired! Yes, the Turnover at the Top of the Trump Administration Is \xe2\x80\xa6 \xe2\x80\x9cUnprecedented.\xe2\x80\x9d   via\xe2\x80\xa6 https://t.co/mIylo3HGdc'"
2018-10-09 20:56:37,b'She was bad.  Bad.  Bad. #LockHerUp @WeAreOne_Q @realDonaldTrump @ASavageNation @TomFitton @TuckerCarlson\xe2\x80\xa6 https://t.co/9e12ARh2z5'
2018-10-09 20:56:23,"b""@Acosta MY daughter would be a better UN ambassador than #Ivanka.\nHer main advantage: she is not #Trump's daughter !\n#RealDonaldTrump #GOP"""
2018-10-09 20:52:51,b'@mjfree The Donald might have considered his daughter Ivanka as possible replacement for Nikki Haley as ambassador\xe2\x80\xa6 https://t.co/KRcH22DgKI'
2018-10-09 20:52:06,b'@GeorgeTakei The Donald might have considered his daughter Ivanka as possible replacement for Nikki Haley as ambass\xe2\x80\xa6 https://t.co/ZzFiW7MhTw'
2018-10-09 20:45:01,b'The Donald might have considered his daughter Ivanka as possible replacement for Nikki Haley as ambassador to the U\xe2\x80\xa6 https://t.co/rkQnfobYhd'
2018-10-09 20:44:56,"b'RT @cliffordmd2112: @pnjaban @mikecokere @SFPD Again, where the F is Jeff Sessions and the DOJ, if anyone sneezed furing Holder/Lynch when\xe2\x80\xa6'"
2018-10-09 20:44:11,b'Brussels is great! #MakeBelgiumGreatAgain @POTUS #realDonaldTrump'
2018-10-09 20:36:55,b'RT @harpreetalld: IT Jobs are already MOVING to Canada. \n#hr392 must pass to stop migration. Many Companies are EXPANDING and OPENING new O\xe2\x80\xa6'
2018-10-09 20:36:37,"b'@BillKristol Trump fires Session after midterms, Lindsey Graghm replaces Session, Nikki get appointed to replace Gr\xe2\x80\xa6 https://t.co/2CHNOZfshR'"
2018-10-09 20:34:47,b'@jaketapper Nepotism?  Is Trump aware that both Ivanka and her husband are working for him in the WH now?  #realDonaldTrump'
2018-10-09 20:31:07,"b""Putin's Russian Internet Troll Factory responsible for successful pro- #realDonaldTrump election meddling hit by ar\xe2\x80\xa6 https://t.co/UUD4XlYq1Z"""
2018-10-09 20:27:05,"b""RT @jeffreymmiller: Democrats see record 'surge' in midterm campaign donations from Americans fed up with Demented Dictator #realDonaldTrum\xe2\x80\xa6"""
2018-10-09 20:26:07,b'RT @JJS5547: @Ocasio2018 Listen up idiots...  #America IS NOT A DEMOCRACY ... #AMERICA IS A REPUBLIC... the #demonrats have twisted all our\xe2\x80\xa6'
2018-10-09 20:24:43,b'Demented Dictator #realDonaldTrump apologizes to Alcoholic RAPIST Brett Kavanaugh for allowing his victims to speak\xe2\x80\xa6 https://t.co/wIGCFM1Vxm'
2018-10-09 20:21:51,"b""Democrats see record 'surge' in midterm campaign donations from Americans fed up with Demented Dictator\xe2\x80\xa6 https://t.co/vcVSGOlbjC"""
2018-10-09 20:21:16,b'RT @JJS5547: @Ocasio2018 Listen up idiots...  #America IS NOT A DEMOCRACY ... #AMERICA IS A REPUBLIC... the #demonrats have twisted all our\xe2\x80\xa6'
2018-10-09 20:15:17,b'@atensnut @HillaryClinton Come on people sign that petition. Get this investigation going #realDonaldTrump'
2018-10-09 20:14:41,"b'@staunovo Well then ease up on Iran, duuuuuu. #realDonaldTrump'"
2018-10-09 20:14:24,b'RT @akibbe99: @ChuckGrassley President Trump is doing a great job!  First President Im willing to fight for. A lot of people don\xe2\x80\x99t understa\xe2\x80\xa6'
2018-10-09 20:12:44,"b'@FoxNews @ShepNewsTeam I tune OUT whenever this worthless f#g \xf0\x9f\x91\xa0\xf0\x9f\x92\x84#ShepardSmith is on.\n#Foxnews needs to WAKE UP, the\xe2\x80\xa6 https://t.co/yLbtzY6jPn'"
2018-10-09 20:11:08,b'RT @akibbe99: @ChuckGrassley President Trump is doing a great job!  First President Im willing to fight for. A lot of people don\xe2\x80\x99t understa\xe2\x80\xa6'
2018-10-09 20:10:44,b'RT @AKAGerardSr: Strange how #dimDonny hasn\xe2\x80\x99t spoken out about the MOST people to be hired and quit during first half of presidency. Just n\xe2\x80\xa6'
2018-10-09 20:10:18,"b'RT @TXBelle18: Well we Mob Chicks are coming! #BelieveWomen #BelieveSurvivors #VoteBlueToSaveAmerica #VoteBlue for our children, the future\xe2\x80\xa6'"
2018-10-09 20:08:53,b'Brussels is great! Tweet this @potus @realdonaldtrump #nohellhole #realDonaldTrump'
2018-10-09 20:08:16,"b'@FBIWFO How do I report crimes committed in Kuwait? The crime is extortion, diversion of US aircraft for personal f\xe2\x80\xa6 https://t.co/Q42YoD2Z6P'"
2018-10-09 20:05:40,"b'Well we Mob Chicks are coming! #BelieveWomen #BelieveSurvivors #VoteBlueToSaveAmerica #VoteBlue for our children, t\xe2\x80\xa6 https://t.co/znf7i0PZeR'"
2018-10-09 20:02:46,"b""@jpfginger @FoxNews @POTUS Yet it's TRUE, liberals and democrats HATE cops. Should I repeat it a 3rd time for you,\xe2\x80\xa6 https://t.co/u9m8Q10ebk"""
2018-10-09 19:59:58,"b'A very criminal city and terror capital of Europe, but if Trump makes a comment about it, \nthey are against it, hyp\xe2\x80\xa6 https://t.co/PQDG2eRlrU'"
2018-10-09 19:59:11,"b""#realDonaldTrump's Anti-American Supreme Court refuses to hear appeal of Alcoholic RAPIST Kavanaugh ruling that str\xe2\x80\xa6 https://t.co/5732jJXa4Y"""
2018-10-09 19:56:29,"b""#realDonaldTrump Regime's Ted Cruz chickens out of CNN town hall with Beto O\xe2\x80\x99Rourke -- who\xe2\x80\x99ll appear on his own.\xe2\x80\xa6 https://t.co/2JUxe0gyTR"""
